id,text,language
0,باب الحارة يغدر بيك غدر، يخليك اتفرج علية من الاول بدون ما تفطن😂,
1,مشاكل البلاك بورد متى تنتهي💔؟,
2,@FCAugsburg Der neue Styler der Bilder ist echt genial! Gefällt mir!,de
3,Kein Pardon: UEFA-Ermittlungen gegen Manchester United! #MUFCFCV #MUFC #Manchester https://t.co/PwZFpoqN1p https://t.co/PYfNgyneSu,de
4,"Ach man, ich hasse Gegentore. #S04",de
5,is listening to Jello Biafra at work.,en
6,"@_chloe yes! it`s on youtube  its from may 7th, and it made me feel 100x better. it`s halarious.",en
7,اینا اپلیکیشن فرم ندارن براشون اپلای کنیم؟,fa
8,این ترم هم معدل الف شدم هو هو🤭🤭,fa
9,خب حس میکنم پیر شدم و تا اطلاع ثانوی همه چی کنسله کنسل,fa
10,सर्व धर्म मंदिर के अलावा यहां पर एक संग्रहालय और चिड़ियाघर भी है।,hi
11,"इस पर ब्राउज़िंग करना, गेम्स खेलना और मूवी देखना काफी अच्छा अनुभव है।",hi
12,कम से कम HD स्क्रीन तो देनी चाहिए थी।,hi
13,Great! Another meeting that could be an email.,en
